Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpRealRet	StdEpRealRet	MaxEpRealRet	MinEpRealRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TotalEnvInteracts	TotalTime
1320	1.1600846	1.0769355	4.7943954	0.106268585	1.1600846	1.0769355	4.7943954	0.106268585	0.24743487	0.09461492	0.4084125	0.12553218	264199	3236.4469771385193
1340	0.9694623	1.7651781	8.003343	0.07318601	0.9694623	1.7651781	8.003343	0.07318601	0.8884985	0.7954023	2.4786286	0.025731305	268199	3285.6164638996124
1360	0.9293541	0.9929608	4.9130397	0.0915429	0.9293541	0.9929608	4.9130397	0.0915429	0.8714419	0.769655	2.4140637	0.23739092	272199	3334.545547246933
1380	0.64668286	0.7568288	2.9116466	0.043311883	0.64668286	0.7568288	2.9116466	0.043311883	0.9130147	0.9584746	2.6758523	0.055150226	276199	3383.2501571178436
1400	0.8669528	1.4870393	6.5935636	0.06824724	0.8669528	1.4870393	6.5935636	0.06824724	0.8951786	0.8229133	2.601385	0.072510265	280199	3432.0686638355255
1420	0.8845047	0.92078966	4.0053997	0.08388005	0.8845047	0.92078966	4.0053997	0.08388005	0.47239384	0.2739945	0.974164	0.12181185	284199	3480.74888586998
1440	1.209941	1.6973006	6.6404614	0.10664785	1.209941	1.6973006	6.6404614	0.10664785	0.8769466	0.89445543	2.805978	0.24226032	288199	3529.8656640052795
1460	1.5854145	2.1058748	7.1455812	0.0277556	1.5854145	2.1058748	7.1455812	0.0277556	0.5064724	0.68091434	1.9918259	0.0777562	292199	3578.8153297901154
1480	0.923159	1.1095688	3.97229	0.032992613	0.923159	1.1095688	3.97229	0.032992613	0.85640854	1.0888397	3.237416	0.20292646	296199	3627.5997898578644
1500	1.1340654	1.2551078	4.166993	0.017078716	1.1340654	1.2551078	4.166993	0.017078716	1.4546372	2.0367815	5.9030247	0.17004268	300199	3676.584671497345
1520	0.55324835	0.71602243	3.1247644	0.03735903	0.55324835	0.71602243	3.1247644	0.03735903	0.81977654	0.70612603	2.0216267	0.043131806	304199	3725.4964089393616
1540	1.0844076	1.5977218	6.206272	0.04019026	1.0844076	1.5977218	6.206272	0.04019026	0.91751784	1.1214775	3.3311806	0.11283061	308199	3774.4933483600616
1560	1.2167165	1.4417183	5.641936	0.047442745	1.2167165	1.4417183	5.641936	0.047442745	1.1657768	1.0582006	3.1614876	0.0854285	312199	3823.1591053009033
1580	1.2055646	0.9508867	4.062769	0.078757785	1.2055646	0.9508867	4.062769	0.078757785	0.7418831	0.5218447	1.7643878	0.17101172	316199	3872.1583898067474
1600	0.9683053	1.491054	6.7283072	0.020690093	0.9683053	1.491054	6.7283072	0.020690093	0.4612234	0.32904837	0.96830237	0.08150323	320199	3921.0286569595337
1620	0.4016199	0.31164244	1.3182572	0.049703367	0.4016199	0.31164244	1.3182572	0.049703367	0.37446308	0.3930177	1.2103435	0.0505852	324199	3969.9533314704895
1640	0.96751153	1.5316215	6.3096843	0.06234224	0.96751153	1.5316215	6.3096843	0.06234224	1.1022058	1.0097071	2.6097403	0.052030474	328199	4018.614734888077
1660	0.56631225	0.5943004	2.4087346	0.052470814	0.56631225	0.5943004	2.4087346	0.052470814	1.2800331	1.5906098	4.7287765	0.12271241	332199	4067.3478803634644
1680	0.951769	1.2189534	4.823318	0.059296183	0.951769	1.2189534	4.823318	0.059296183	0.9428019	0.7911195	2.337	0.028292455	336199	4116.042640447617
1700	0.93455493	1.1778318	4.924794	0.034515176	0.93455493	1.1778318	4.924794	0.034515176	0.85107	0.53503567	1.7157822	0.12877291	340199	4165.5689306259155
1720	0.68448627	1.3829336	6.613897	0.08731526	0.68448627	1.3829336	6.613897	0.08731526	0.84788656	0.59488	1.726752	0.07881925	344199	4215.817876815796
1740	0.6379803	0.76079696	3.2718604	0.070973344	0.6379803	0.76079696	3.2718604	0.070973344	0.5327428	0.4026229	1.3336331	0.027708322	348199	4265.884356737137
1760	1.1436454	2.0206528	7.6241384	0.05170985	1.1436454	2.0206528	7.6241384	0.05170985	1.5408711	1.8568685	5.4590516	0.11915591	352199	4316.1158747673035
1780	0.81913745	0.8910131	2.8472261	0.017412145	0.81913745	0.8910131	2.8472261	0.017412145	0.59822637	0.6350935	1.9734849	0.07701122	356199	4366.472532272339
1800	1.0556552	1.1657745	5.2268863	0.20209849	1.0556552	1.1657745	5.2268863	0.20209849	0.720746	0.4560256	1.4601511	0.1554961	360199	4417.016304016113
1820	1.6058687	1.6141646	6.8046174	0.17546757	1.6058687	1.6141646	6.8046174	0.17546757	1.4346533	1.4868342	4.510618	0.035341647	364199	4467.134521007538
1840	1.207639	1.2169782	4.734177	0.117110215	1.207639	1.2169782	4.734177	0.117110215	0.34719673	0.24210578	0.81230545	0.099459566	368199	4517.019606113434
1860	0.906023	1.7713683	6.4829154	0.05930267	0.906023	1.7713683	6.4829154	0.05930267	0.45706466	0.26860616	1.0246545	0.23939434	372199	4567.015610933304
1880	1.0787317	1.3852909	5.0552845	0.05450574	1.0787317	1.3852909	5.0552845	0.05450574	0.2903173	0.21071236	0.5904834	0.04807087	376199	4617.171859741211
1900	0.81969774	0.917287	3.93537	0.118194155	0.81969774	0.917287	3.93537	0.118194155	0.71042055	0.6778983	2.1607914	0.07905469	380199	4667.263449907303
1920	1.7696987	1.9813892	7.207926	0.038225062	1.7696987	1.9813892	7.207926	0.038225062	1.2252895	1.2454495	3.654388	0.08992204	384199	4717.178482055664
1940	0.95689905	1.2372402	5.0676293	0.042862296	0.95689905	1.2372402	5.0676293	0.042862296	0.21799631	0.14858657	0.5195863	0.06512103	388199	4766.971560716629
1960	0.85318357	0.9979178	4.114826	0.06757531	0.85318357	0.9979178	4.114826	0.06757531	0.8181812	0.3938329	1.5306455	0.28963962	392199	4816.8471076488495
1980	1.1013117	1.2077527	4.5561438	0.16710542	1.1013117	1.2077527	4.5561438	0.16710542	0.97680396	0.7423294	2.5258594	0.34483	396199	4866.181579589844
2000	0.7066743	0.9959766	4.1820803	0.039442666	0.7066743	0.9959766	4.1820803	0.039442666	1.5081921	1.5935457	4.9237957	0.28124312	400199	4915.75931429863
2020	1.2806734	1.3052994	4.0825424	0.043942995	1.2806734	1.3052994	4.0825424	0.043942995	0.40662614	0.52989143	1.555498	0.048333306	404199	4965.224277496338
2040	1.8622267	2.676545	8.492935	0.14492053	1.8622267	2.676545	8.492935	0.14492053	0.2664998	0.1612464	0.55637383	0.122145236	408199	5014.862226486206
2060	1.1823504	1.1041337	3.9502501	0.03932398	1.1823504	1.1041337	3.9502501	0.03932398	0.31723997	0.091574326	0.43974018	0.17230435	412199	5064.563384056091
2080	0.8208879	1.4415165	6.709163	0.080394454	0.8208879	1.4415165	6.709163	0.080394454	1.5632801	1.7034794	4.9999943	0.060476877	416199	5114.091113090515
2100	1.3705034	1.4650711	4.863443	0.058411043	1.3705034	1.4650711	4.863443	0.058411043	0.90169996	0.32289907	1.5310575	0.561139	420199	5163.37021112442
2120	1.7678044	2.0324342	7.17201	0.06429726	1.7678044	2.0324342	7.17201	0.06429726	0.7751091	0.6608431	2.178033	0.10704242	424199	5212.554981946945
2140	1.5813668	1.5180027	5.453858	0.06919825	1.5813668	1.5180027	5.453858	0.06919825	0.76191884	0.95743185	2.852127	0.13829818	428199	5262.060874223709
2160	1.4064376	2.1676707	9.937009	0.057276323	1.4064376	2.1676707	9.937009	0.057276323	1.3767866	1.425434	4.38621	0.1115757	432199	5311.235247135162
2180	1.3592578	1.7991151	7.260567	0.057860307	1.3592578	1.7991151	7.260567	0.057860307	0.14086531	0.16215454	0.49453822	0.029831486	436199	5360.133707046509
2200	1.5599034	2.2991307	9.687753	0.05234204	1.5599034	2.2991307	9.687753	0.05234204	0.6481568	0.54913783	1.6965555	0.074795514	440199	5409.182771444321
2220	0.9897461	0.99963856	3.2748034	0.07168001	0.9897461	0.99963856	3.2748034	0.07168001	0.47843575	0.47882268	1.5114788	0.10290083	444199	5458.938557624817
2240	1.1831402	1.8043861	6.41874	0.076090224	1.1831402	1.8043861	6.41874	0.076090224	1.4873513	1.858831	5.52863	0.21981567	448199	5509.055636882782
2260	1.2247716	1.147949	4.038634	0.21065968	1.2247716	1.147949	4.038634	0.21065968	0.5347047	0.25214902	1.0700712	0.29826486	452199	5558.280386924744
2280	1.848156	1.5611073	4.7378774	0.0418362	1.848156	1.5611073	4.7378774	0.0418362	2.1386855	1.9108574	5.241419	0.2886389	456199	5607.4165897369385
2300	0.8880194	1.1418884	4.9386415	0.04278787	0.8880194	1.1418884	4.9386415	0.04278787	0.80491847	0.7286042	2.3843458	0.22049424	460199	5656.642216920853
2320	0.59473693	0.8803141	3.3970659	0.07006826	0.59473693	0.8803141	3.3970659	0.07006826	1.843853	2.243487	6.632258	0.15683204	464199	5705.868218421936
2340	0.88714284	0.9307196	4.0129905	0.037566874	0.88714284	0.9307196	4.0129905	0.037566874	0.119963594	0.07816312	0.28274882	0.04088482	468199	5755.242398023605
2360	1.1532581	1.2200718	4.396601	0.07237891	1.1532581	1.2200718	4.396601	0.07237891	0.59485406	0.36584038	1.0873581	0.0982302	472199	5804.673612356186
2380	1.8108345	2.4781523	8.519636	0.034083817	1.8108345	2.4781523	8.519636	0.034083817	1.1914598	0.80402595	2.8405404	0.31991157	476199	5853.918487071991
2400	1.0833347	1.0977252	4.8437233	0.032903206	1.0833347	1.0977252	4.8437233	0.032903206	1.2057487	1.0534413	3.3797321	0.10876324	480199	5903.010996103287
2420	1.1101074	0.9453749	3.333963	0.06639537	1.1101074	0.9453749	3.333963	0.06639537	0.6779142	0.42099813	1.2844925	0.08230667	484199	5952.567743062973
2440	1.4991615	1.4574113	5.488675	0.04125305	1.4991615	1.4574113	5.488675	0.04125305	1.2894245	0.9860399	2.6643586	0.18720669	488199	6001.785523414612
2460	1.5491725	1.9231497	7.0995874	0.16786833	1.5491725	1.9231497	7.0995874	0.16786833	0.14271002	0.11503802	0.3904037	0.05464255	492199	6050.869028091431
2480	0.8352667	0.93260336	3.9145467	0.01602645	0.8352667	0.93260336	3.9145467	0.01602645	1.3102432	1.5019808	4.4450645	0.12809592	496199	6100.111503124237
2500	0.5260135	0.7432837	3.3151731	0.065298826	0.5260135	0.7432837	3.3151731	0.065298826	0.8486628	0.7521355	2.3635497	0.18880777	500199	6149.938322067261
2520	1.0722597	1.3061094	3.8632596	0.052107535	1.0722597	1.3061094	3.8632596	0.052107535	0.31741962	0.1462394	0.4695079	0.03454911	504199	6199.603060245514
2540	1.039422	1.1125984	4.861102	0.08375872	1.039422	1.1125984	4.861102	0.08375872	0.550016	0.49320647	1.6068152	0.16907644	508199	6249.043123483658
2560	1.081979	1.4043086	5.5597687	0.06329377	1.081979	1.4043086	5.5597687	0.06329377	0.9337351	0.99549925	3.103776	0.2356421	512199	6298.536720991135
2580	0.7834165	1.0079999	4.4452734	0.033909407	0.7834165	1.0079999	4.4452734	0.033909407	0.46770236	0.2367573	0.8436325	0.15914539	516199	6347.850479364395
2600	0.4682564	0.48237514	1.6687669	0.04830371	0.4682564	0.48237514	1.6687669	0.04830371	1.1510838	0.8149404	2.6205974	0.07774279	520199	6396.985986709595
2620	1.3024135	2.6013343	11.760667	0.050416972	1.3024135	2.6013343	11.760667	0.050416972	1.1856127	1.4037142	4.236397	0.14634396	524199	6446.151183128357
2640	1.0894802	1.2975852	4.409842	0.03137767	1.0894802	1.2975852	4.409842	0.03137767	1.1289989	1.3298184	4.02514	0.18170422	528199	6495.581927537918
2660	0.58284914	0.91818815	3.806333	0.014624476	0.58284914	0.91818815	3.806333	0.014624476	0.92712253	0.9208665	2.3514757	0.06649781	532199	6544.897572278976
2680	0.81549597	0.9189368	3.69962	0.106578924	0.81549597	0.9189368	3.69962	0.106578924	1.2455546	1.3281645	4.0557714	0.2180234	536199	6594.335147619247
2700	0.6809715	0.7782321	2.9133875	0.07386659	0.6809715	0.7782321	2.9133875	0.07386659	1.1760107	1.3594584	4.1406984	0.20067875	540199	6643.5078155994415
2720	0.6283275	0.53696585	2.1169677	0.10218504	0.6283275	0.53696585	2.1169677	0.10218504	0.466965	0.46984532	1.4829652	0.088995	544199	6692.440555810928
2740	1.3134047	1.2728448	4.38697	0.039060984	1.3134047	1.2728448	4.38697	0.039060984	0.7780724	0.49046457	1.5646845	0.14629176	548199	6741.860751867294
2760	0.944787	1.4603885	6.4624686	0.033038795	0.944787	1.4603885	6.4624686	0.033038795	0.5994249	0.4626787	1.375911	0.029110031	552199	6791.3839066028595
2780	1.2583982	1.7992616	7.6065173	0.13479932	1.2583982	1.7992616	7.6065173	0.13479932	0.7397768	0.49797675	1.5884057	0.08546624	556199	6841.94448018074
2800	1.183948	2.461025	11.483412	0.03323972	1.183948	2.461025	11.483412	0.03323972	0.86018676	1.086175	3.2123864	0.052626267	560199	6891.694618463516
2820	1.1677849	1.3831323	4.764301	0.09438708	1.1677849	1.3831323	4.764301	0.09438708	0.8031788	0.94547224	2.8237357	0.12463886	564199	6940.8844838142395
2840	1.3437063	1.4702889	5.474143	0.029465213	1.3437063	1.4702889	5.474143	0.029465213	1.3072156	1.6396832	4.8469357	0.047932368	568199	6990.462198257446
2860	0.800975	0.9313791	3.7064173	0.020180885	0.800975	0.9313791	3.7064173	0.020180885	1.7265943	1.3558486	4.4649615	0.35262036	572199	7040.1365785598755
2880	0.88344383	0.9916833	3.781516	0.06329787	0.88344383	0.9916833	3.781516	0.06329787	0.14711489	0.08016657	0.25361252	0.044523522	576199	7089.6337060928345
2900	0.8965756	1.0476576	5.0011277	0.061720423	0.8965756	1.0476576	5.0011277	0.061720423	0.22935808	0.14566721	0.5214979	0.07735923	580199	7139.012456178665
2920	0.6462131	0.53405476	2.320406	0.11538471	0.6462131	0.53405476	2.320406	0.11538471	0.43668815	0.32769078	1.0609719	0.04226999	584199	7188.62974357605
2940	1.1274161	1.4346215	5.073619	0.04990199	1.1274161	1.4346215	5.073619	0.04990199	0.6743416	0.5270363	1.4955308	0.1057971	588199	7238.253281831741
2960	0.86849344	0.98939306	3.672492	0.03641378	0.86849344	0.98939306	3.672492	0.03641378	0.23956847	0.119526796	0.3996404	0.081101604	592199	7287.731550693512
2980	1.3350438	1.557846	5.0753946	0.055167217	1.3350438	1.557846	5.0753946	0.055167217	1.0724887	0.8477667	2.6426368	0.09639891	596199	7337.006068468094
3000	1.1220509	1.8709807	8.7021885	0.0761919	1.1220509	1.8709807	8.7021885	0.0761919	0.21860398	0.21290058	0.67054063	0.022555191	600199	7386.253157615662
3020	0.9790653	1.0886824	4.475613	0.03937016	0.9790653	1.0886824	4.475613	0.03937016	1.7515758	2.3392076	6.874838	0.38520223	604199	7436.054723501205
3040	1.2714711	1.7586732	5.7596893	0.06414537	1.2714711	1.7586732	5.7596893	0.06414537	0.30434647	0.22656374	0.76794523	0.028679172	608199	7486.760456562042
3060	1.0604322	1.5101346	6.7433443	0.070939645	1.0604322	1.5101346	6.7433443	0.070939645	0.42103782	0.22726569	0.76045656	0.14604798	612199	7538.669194936752
3080	1.1185104	2.097017	10.013954	0.14066634	1.1185104	2.097017	10.013954	0.14066634	0.5461612	0.3706203	1.1163197	0.038334478	616199	7588.749664068222
3100	0.93058026	1.4758748	6.702145	0.05716283	0.93058026	1.4758748	6.702145	0.05716283	0.35529956	0.17065364	0.513784	0.08078468	620199	7638.796718120575
3120	1.3781434	2.0247312	8.089288	0.1100053	1.3781434	2.0247312	8.089288	0.1100053	0.5238865	0.60876757	1.8439914	0.0855623	624199	7688.717350244522
3140	0.92489594	1.2105309	5.1987643	0.036102936	0.92489594	1.2105309	5.1987643	0.036102936	1.1580267	1.0266659	3.3499713	0.19420873	628199	7738.55371260643
3160	0.6037265	0.81443316	3.4676585	0.055276237	0.6037265	0.81443316	3.4676585	0.055276237	1.1453682	0.39542267	1.5139227	0.33032	632199	7788.252075433731
3180	1.3047199	1.515817	5.247441	0.04996815	1.3047199	1.515817	5.247441	0.04996815	0.974973	1.0711176	3.0358777	0.042534865	636199	7838.10182762146
3200	0.9192602	1.481518	5.142269	0.08469583	0.9192602	1.481518	5.142269	0.08469583	0.6747202	0.35777426	1.153817	0.16266197	640199	7888.10938668251
